2023-10-09 22:20:56,427  =================== rf_bert01 start training ===================
2023-10-09 22:27:53,223  gridsearching...
2023-10-09 23:46:38,498  0.701 (+/-0.026) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,498  0.704 (+/-0.029) for {'max_depth': 24, 'min_samples_leaf': 1, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,498  0.680 (+/-0.038) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,498  0.706 (+/-0.025) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,498  0.718 (+/-0.025) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,498  0.686 (+/-0.034) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,498  0.709 (+/-0.022) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,498  0.711 (+/-0.019) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,498  0.680 (+/-0.034) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,498  0.709 (+/-0.029) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,498  0.717 (+/-0.026) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,498  0.684 (+/-0.029) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,498  0.703 (+/-0.022) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,498  0.709 (+/-0.028) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,499  0.677 (+/-0.022) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,499  0.697 (+/-0.012) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,499  0.707 (+/-0.025) for {'max_depth': 24, 'min_samples_leaf': 3, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,499  0.688 (+/-0.038) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 50}
2023-10-09 23:46:38,499  0.696 (+/-0.033) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 100}
2023-10-09 23:46:38,499  0.708 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 2, 'n_estimators': 150}
2023-10-09 23:46:38,499  0.675 (+/-0.021) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 50}
2023-10-09 23:46:38,499  0.703 (+/-0.037) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 100}
2023-10-09 23:46:38,499  0.708 (+/-0.023) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 4, 'n_estimators': 150}
2023-10-09 23:46:38,499  0.684 (+/-0.024) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 50}
2023-10-09 23:46:38,499  0.701 (+/-0.020) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 100}
2023-10-09 23:46:38,499  0.710 (+/-0.029) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 6, 'n_estimators': 150}
2023-10-09 23:46:38,499  0.683 (+/-0.025) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 50}
2023-10-09 23:46:38,499  0.703 (+/-0.032) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 100}
2023-10-09 23:46:38,499  0.711 (+/-0.031) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 12, 'n_estimators': 150}
2023-10-09 23:46:38,500  0.682 (+/-0.020) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 50}
2023-10-09 23:46:38,500  0.696 (+/-0.038) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 100}
2023-10-09 23:46:38,500  0.703 (+/-0.034) for {'max_depth': 24, 'min_samples_leaf': 8, 'min_samples_split': 24, 'n_estimators': 150}
2023-10-09 23:46:38,500  0.669 (+/-0.032) for {'max_depth': 24, 'min_samples_leaf': 16, 'min_samples_split': 2, 'n_estimators': 50}
